name,sports_car,suv,wagon,minivan,pickup,all_wheel,rear_wheel,msrp,dealer_cost,eng_size,ncyl,horsepwr,city_mpg,hwy_mpg,weight,wheel_base,length,width
Chevrolet Aveo 4dr,False,False,False,False,False,False,False,11690,10965,1.6,4,103,28.0,34.0,2370.0,98.0,167.0,66.0
Chevrolet Aveo LS 4dr hatch,False,False,False,False,False,False,False,12585,11802,1.6,4,103,28.0,34.0,2348.0,98.0,153.0,66.0
Chevrolet Cavalier 2dr,False,False,False,False,False,False,False,14610,13697,2.2,4,140,26.0,37.0,2617.0,104.0,183.0,69.0
Chevrolet Cavalier 4dr,False,False,False,False,False,False,False,14810,13884,2.2,4,140,26.0,37.0,2676.0,104.0,183.0,68.0
Chevrolet Cavalier LS 2dr,False,False,False,False,False,False,False,16385,15357,2.2,4,140,26.0,37.0,2617.0,104.0,183.0,69.0
Dodge Neon SE 4dr,False,False,False,False,False,False,False,13670,12849,2.0,4,132,29.0,36.0,2581.0,105.0,174.0,67.0
Dodge Neon SXT 4dr,False,False,False,False,False,False,False,15040,14086,2.0,4,132,29.0,36.0,2626.0,105.0,174.0,67.0
Ford Focus ZX3 2dr hatch,False,False,False,False,False,False,False,13270,12482,2.0,4,130,26.0,33.0,2612.0,103.0,168.0,67.0
Ford Focus LX 4dr,False,False,False,False,False,False,False,13730,12906,2.0,4,110,27.0,36.0,2606.0,103.0,168.0,67.0
Ford Focus SE 4dr,False,False,False,False,False,False,False,15460,14496,2.0,4,130,26.0,33.0,2606.0,103.0,168.0,67.0
Ford Focus ZX5 5dr,False,False,False,False,False,False,False,15580,14607,2.0,4,130,26.0,33.0,2691.0,103.0,168.0,67.0
Honda Civic DX 2dr,False,False,False,False,False,False,False,13270,12175,1.7,4,115,32.0,38.0,2432.0,103.0,175.0,67.0
Honda Civic HX 2dr,False,False,False,False,False,False,False,14170,12996,1.7,4,117,36.0,44.0,2500.0,103.0,175.0,67.0
Honda Civic LX 4dr,False,False,False,False,False,False,False,15850,14531,1.7,4,115,32.0,38.0,2513.0,103.0,175.0,68.0
Hyundai Accent 2dr hatch,False,False,False,False,False,False,False,10539,10107,1.6,4,103,29.0,33.0,2255.0,96.0,167.0,66.0
Hyundai Accent GL 4dr,False,False,False,False,False,False,False,11839,11116,1.6,4,103,29.0,33.0,2290.0,96.0,167.0,66.0
Hyundai Accent GT 2dr hatch,False,False,False,False,False,False,False,11939,11209,1.6,4,103,29.0,33.0,2339.0,96.0,167.0,66.0
Hyundai Elantra GLS 4dr,False,False,False,False,False,False,False,13839,12781,2.0,4,138,26.0,34.0,2635.0,103.0,178.0,68.0
Hyundai Elantra GT 4dr,False,False,False,False,False,False,False,15389,14207,2.0,4,138,26.0,34.0,2635.0,103.0,178.0,68.0
Hyundai Elantra GT 4dr hatch,False,False,False,False,False,False,False,15389,14207,2.0,4,138,26.0,34.0,2698.0,103.0,178.0,68.0
Kia Optima LX 4dr,False,False,False,False,False,False,False,16040,14910,2.4,4,138,23.0,30.0,3281.0,106.0,186.0,72.0
Kia Rio 4dr manual,False,False,False,False,False,False,False,10280,9875,1.6,4,104,26.0,33.0,2403.0,95.0,167.0,66.0
Kia Rio 4dr auto,False,False,False,False,False,False,False,11155,10705,1.6,4,104,25.0,32.0,2458.0,95.0,167.0,66.0
Kia Spectra 4dr,False,False,False,False,False,False,False,12360,11630,1.8,4,124,24.0,32.0,2661.0,101.0,178.0,68.0
Kia Spectra GS 4dr hatch,False,False,False,False,False,False,False,13580,12830,1.8,4,124,24.0,32.0,2686.0,101.0,178.0,68.0
Kia Spectra GSX 4dr hatch,False,False,False,False,False,False,False,14630,13790,1.8,4,124,24.0,32.0,2697.0,101.0,178.0,68.0
Mazda3 i 4dr,False,False,False,False,False,False,False,15500,14525,2.0,4,148,,,2696.0,,,
Mini Cooper,False,False,False,False,False,False,False,16999,15437,1.6,4,115,28.0,37.0,2524.0,97.0,143.0,67.0
Mitsubishi Lancer ES 4dr,False,False,False,False,False,False,False,14622,13751,2.0,4,120,,,2656.0,102.0,181.0,67.0
Mitsubishi Lancer LS 4dr,False,False,False,False,False,False,False,16722,15718,2.0,4,120,,,2795.0,102.0,181.0,67.0
Nissan Sentra 1.8 4dr,False,False,False,False,False,False,False,12740,12205,1.8,4,126,28.0,35.0,2513.0,100.0,178.0,67.0
Nissan Sentra 1.8 S 4dr,False,False,False,False,False,False,False,14740,13747,1.8,4,126,28.0,35.0,2581.0,100.0,178.0,67.0
Pontiac Sunfire 1SA 2dr,False,False,False,False,False,False,False,15495,14375,2.2,4,140,24.0,33.0,2771.0,104.0,182.0,68.0
Saturn Ion1 4dr,False,False,False,False,False,False,False,10995,10319,2.2,4,140,26.0,35.0,2692.0,103.0,185.0,67.0
Saturn lon2 4dr,False,False,False,False,False,False,False,14300,13393,2.2,4,140,26.0,35.0,2692.0,103.0,185.0,67.0
Saturn lon3 4dr,False,False,False,False,False,False,False,15825,14811,2.2,4,140,26.0,35.0,2692.0,103.0,185.0,67.0
Saturn lon2 quad coupe 2dr,False,False,False,False,False,False,False,14850,13904,2.2,4,140,26.0,35.0,2751.0,103.0,185.0,68.0
Saturn lon3 quad coupe 2dr,False,False,False,False,False,False,False,16350,15299,2.2,4,140,26.0,35.0,2751.0,103.0,185.0,68.0
Scion xA 4dr hatch,False,False,False,False,False,False,False,12965,12340,1.5,4,108,32.0,38.0,2340.0,93.0,154.0,67.0
Suzuki Aeno S 4dr,False,False,False,False,False,False,False,12884,12719,2.3,4,155,25.0,31.0,2676.0,98.0,171.0,68.0
Suzuki Aerio LX 4dr,False,False,False,False,False,False,False,14500,14317,2.3,4,155,25.0,31.0,2676.0,98.0,171.0,68.0
Suzuki Forenza S 4dr,False,False,False,False,False,False,False,12269,12116,2.0,4,119,24.0,31.0,2701.0,102.0,177.0,68.0
Suzuki Forenza EX 4dr,False,False,False,False,False,False,False,15568,15378,2.0,4,119,22.0,30.0,2756.0,102.0,177.0,68.0
